created_at,username,full_text,tweet_id,query
2014-01-19 22:18:09+00:00,Beritasatu,"Dipicu Kurs, Kenaikan Harga Baja Tak Terhindarkan  http://t.co/Yxiqx8YAWJ",425029439026524160,kenaikan harga lang:id
2014-01-19 18:38:49+00:00,antaranews,Kenaikan harga baja tak terhindarkan http://t.co/ii235loRqI,424974242594058240,kenaikan harga lang:id
2014-01-19 14:30:02+00:00,KotaBalikpapan,#NewsBPN Kenaikan Harga Obat Generik Tak Pengaruhi Pelayanan Kesehatan http://t.co/qMe98sBIC9,424911631999434752,kenaikan harga lang:id
2014-01-19 09:47:08+00:00,DrDzul,Mukhriz bimbang kenaikan harga barang bakal tumbangkan BN PRU14 http://t.co/3qOUs4jYze Jangan bimbang klu BUAT KERJA YG BETUL DGN BETUL YAB!,424840439741444096,kenaikan harga lang:id
2014-01-19 09:15:40+00:00,tm_insider,Mukhriz bimbang siri kenaikan harga barang bakal tumbangkan BN dalam PRU14: Datuk Seri Mukhriz Mahathir (gamba... http://t.co/OkQ2esJ6kS,424832521734332417,kenaikan harga lang:id
2014-01-19 08:39:58+00:00,tm_insider,"Lari dari isu kenaikan harga barang, Umno main sentimen perkauman, kata Guan Eng: Umno sengaja memainkan isu p... http://t.co/7pTlzTQV0g",424823535039545344,kenaikan harga lang:id
2014-01-19 05:50:06+00:00,mkini_bm,"'Sekat kos menteri, pegawai kerajaan': Kenaikan harga barangan keperluan harian cabaran utama tahun 2014 dan k... http://t.co/EUKuy7XdPQ",424780788442206209,kenaikan harga lang:id
2014-01-19 03:41:41+00:00,mkini_bm,PKR: Harga naik kenapa salahkah orang tengah?: Kenyataan itu cubaan mengalih pandangan bahawa kenaikan harga b... http://t.co/Sm3b6IvOL0,424748471132774401,kenaikan harga lang:id
2014-01-18 21:33:32+00:00,Harian_Jogja,KENAIKAN HARGA ELPIJI : Fitra Duga Harga Elpiji Dikendalikan Mafia http://t.co/qC1darcHhK,424655822765826048,kenaikan harga lang:id
2014-01-18 13:42:24+00:00,harakahdailyHD,BERITA TERBARU --&gt;  Percikan api perkauman dalam isu kenaikan harga barang: ISU kenaikan harga barang yang... http://t.co/3cWtEYZw3i,424537256184283137,kenaikan harga lang:id
2014-01-18 12:03:14+00:00,anwaribrahim,"""@Afy_Adriamie: sebarkan http://t.co/ysEqYwoCml 1 Juta Tandatangan Rakyat Membantah Kenaikan Pelbagai Harga Barang &amp;amp; Caj Perkhidmatan""",424512300322938880,kenaikan harga lang:id
